Order,Filename,Section,Chapter directory,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path
56,Ring TTRPG-Art-Asset_42 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,ring with engraved patterns and a large rectangular gemstone set in its front,Fisktak (CC-0),https://fisktak.itch.io/,"Ring TTRPG-Art-Asset_42 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Ring TTRPG-Art-Asset_42 - by Fisktak CC-0
57,Ring TTRPG-Art-Asset_43 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A ring featuring a skull with two horns and a gemstone on its forehead,Fisktak (CC-0),https://fisktak.itch.io/,"Ring TTRPG-Art-Asset_43 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Ring TTRPG-Art-Asset_43 - by Fisktak CC-0
58,Ring TTRPG-Art-Asset_41 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A ring decorated with irregular carved shapes and a pointed stone at the front,Fisktak (CC-0),https://fisktak.itch.io/,"Ring TTRPG-Art-Asset_41 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Ring TTRPG-Art-Asset_41 - by Fisktak CC-0
59,Scroll TTRPG-Art-Asset_46-47 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A rolled scroll held closed with a strap and a circular seal, ",Fisktak (CC-0),https://fisktak.itch.io/,"Scroll TTRPG-Art-Asset_46-47 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Scroll TTRPG-Art-Asset_46-47 - by Fisktak CC-0
60,Shield TTRPG-Art-Asset_15 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A shield with a wood-grain texture, a central skull emblem, and several raised diamond-shaped studs",Fisktak (CC-0),https://fisktak.itch.io/,"Shield TTRPG-Art-Asset_15 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Shield TTRPG-Art-Asset_15 - by Fisktak CC-0
61,Staff 1,Magic Item,03_Preparing_Quests_and_Adventures,"A staff with a long braided shaft and a circular headpiece framed by two upward-curving prongs, with an ornate central emblem.",Public Domain,,"Staff 1 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Staff 1
62,Staff 2,Magic Item,03_Preparing_Quests_and_Adventures,"A simple staff with a narrow, irregular shaft and an oval head resembling a polished stone set in a carved frame.",Public Domain,,"Staff 2 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Staff 2
63,Staff 3,Magic Item,03_Preparing_Quests_and_Adventures,A staff topped with a broad crescent-like structure formed of multiple hooked blades arranged around a central point.,Public Domain,,"Staff 3 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Staff 3
64,Sword TTRPG-Art-Asset_04 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A curved, segmented blade with pointed edges and a wrapped handle",Fisktak (CC-0),https://fisktak.itch.io/,"Sword TTRPG-Art-Asset_04 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Sword TTRPG-Art-Asset_04 - by Fisktak CC-0
65,Wand TTRPG-Art-Asset_16 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,"A straight wand with carved sections, rounded end caps, and an ornate forked top",Fisktak (CC-0),https://fisktak.itch.io/,"Wand TTRPG-Art-Asset_16 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Wand TTRPG-Art-Asset_16 - by Fisktak CC-0
66,Wand TTRPG-Art-Asset_17 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A gnarled wand wrapped with cords and decorated with small hanging objects and pointed charms,Fisktak (CC-0),https://fisktak.itch.io/,"Wand TTRPG-Art-Asset_17 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Wand TTRPG-Art-Asset_17 - by Fisktak CC-0
67,Yeroc's Summoning Spiderwalk - Erin Z Anderson,Magic Item,03_Preparing_Quests_and_Adventures,wheelchair with tarantula legs instead of wheels,Erin Z Anderson,http://erinzandersonillustration.com/,"Yeroc's Summoning Spiderwalk - Erin Z Anderson © 2025 Wyrmworks Publishing by Erin Z Anderson (http://erinzandersonillustration.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Yeroc's Summoning Spiderwalk - Erin Z Anderson
68,Winged Boots TTRPG-Art-Asset_35 - by Fisktak CC-0,Magic Item,03_Preparing_Quests_and_Adventures,A pair of boots with high cuffs and small wings attached at the ankles,Fisktak (CC-0),https://fisktak.itch.io/,"Winged Boots TTRPG-Art-Asset_35 - by Fisktak CC-0 is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Winged Boots TTRPG-Art-Asset_35 - by Fisktak CC-0
69,Roselysium_SentientWeapon_Screentone,Sentient Magic Items,03_Preparing_Quests_and_Adventures,A peculiar looking sword. Its blade is vaguely serrated and shows eye-like markings on its side. The top edge of the blade has grown energy spikes in the pattern of a spine and ribcage.,Roselysium,https://roselysium.carrd.co/,"Roselysium_SentientWeapon_Screentone © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/03_Preparing_Quests_and_Adventures/Roselysium_SentientWeapon_Screentone
70,,Appendix A: Sample Location,A_Appendix,,Dale Critchley,https://wyrmworkspublishing.com,"  © 2025 Wyrmworks Publishing by Dale Critchley (https://wyrmworkspublishing.com) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",
71,Night_Blades_30_x_25,The Night Blade,A_Appendix,"A top-down map showing a small compound with two round buildings on grassy ground connected to a stone complex containing bunk rooms, a central chamber, a path leading to a pond, and a larger hall with a throne and statues.",Chris Wilson,,"Night_Blades_30_x_25 © 2025 Wyrmworks Publishing by Chris Wilson () is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/A_Appendix/Night_Blades_30_x_25
72,vine-covered tower-BW,The Night Blade,A_Appendix,"A tall, weathered stone tower partly covered in vines, with narrow windows, carved decorative recesses, and a small gargoyle-like sculpture near the base.",Dale Critchley,https://wyrmworkspublishing.com,"vine-covered tower-BW is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/A_Appendix/vine-covered tower-BW
73,Thief © 2025 by The Basic Expert is licensed under CC BY 4.0,The Night Blade,A_Appendix,"a man with an eyepatch holding a knife, looking serious and focused",The Basic Expert,https://thebasicexpert.com/,"Thief © 2025 by The Basic Expert is licensed under CC BY 4.0  © 2025 by The Basic Expert (https://thebasicexpert.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Conductors_Companion/A_Appendix/Thief © 2025 by The Basic Expert is licensed under CC BY 4.0
74,solo_rpg,Appendix C: Solo 5e,A_Appendix,elf woman laying on a branch with book and dice,Public Domain,,"solo_rpg is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Conductors_Companion/A_Appendix/solo_rpg
