category,name,definition
Eldritch Invocations,Agonizing Blast,"Prerequisite: Eldritch Blast cantrip

When you cast Eldritch Blast, add your Charisma modifier to the damage it deals on a hit."
Eldritch Invocations,Armor of Shadows,"You can cast Mage Armor on yourself at will, without expending a spell slot or material components."
Eldritch Invocations,Ascendant Step,"Prerequisite: 9th level

You can cast Levitate on yourself at will, without expending a spell slot or material components."
Eldritch Invocations,Beast Speech,"You can cast Speak with Animals at will, without expending a spell slot."
Eldritch Invocations,Beguiling Influence,You gain proficiency in the Deception and Persuasion skills.
Eldritch Invocations,Bewitching Whispers,"Prerequisite: 7th level

You can cast Compulsion once using a Warlock spell slot. You can’t do so again until you finish a long rest."
Eldritch Invocations,Book of Ancient Secrets,"Prerequisite: Pact of the Tome feature

You can now inscribe magical rituals in your Book of Shadows. Choose two 1st-level spells that have the ritual tag from any class’s spell list (the two needn’t be from the same list). The spells appear in the book and don’t count against the number of spells you know. With your Book of Shadows in hand, you can cast the chosen spells as rituals. You can’t cast the spells except as rituals, unless you’ve learned them by some other means. You can also cast a Warlock spell you know as a ritual if it has the ritual tag.

On your adventures, you can add other ritual spells to your Book of Shadows. When you find such a spell, you can add it to the book if the spell’s level is equal to or less than half your Warlock level (rounded up) and if you can spare the time to transcribe the spell. For each level of the spell, the transcription process takes 2 hours and costs 50 gp for the rare inks needed to inscribe it."
Eldritch Invocations,Chains of Carceri,"Prerequisite: 15th level, Pact of the Chain feature

You can cast Hold Monster at will—targeting a celestial, fiend, or elemental—without expending a spell slot or material components. You must finish a long rest before you can use this invocation on the same creature again."
Eldritch Invocations,Devil’s Sight,"You can see normally in darkness, both magical and nonmagical, to a distance of 120 feet."
Eldritch Invocations,Dreadful Word,"Prerequisite: 7th level

You can cast Confusion once using a Warlock spell slot. You can’t do so again until you finish a long rest."
Eldritch Invocations,Eldritch Sight,"You can cast Detect Magic at will, without expending a spell slot."
Eldritch Invocations,Eldritch Spear,"Prerequisite: Eldritch Blast cantrip

When you cast Eldritch Blast, its range is 300 feet."
Eldritch Invocations,Eyes of the Rune Keeper,You can read all writing.
Eldritch Invocations,Fiendish Vigor,"You can cast False Life on yourself at will as a 1st-level spell, without expending a spell slot or material components."
Eldritch Invocations,Gaze of Two Minds,"You can use your action to touch a willing humanoid and perceive through its senses until the end of your next turn. As long as the creature is on the same plane of existence as you, you can use your action on subsequent turns to maintain this connection, extending the duration until the end of your next turn. While perceiving through the other creature’s senses, you benefit from any special senses possessed by that creature, and you are blinded and deafened to your own surroundings."
Eldritch Invocations,Lifedrinker,"Prerequisite: 12th level, Pact of the Blade feature

When you hit a creature with your pact weapon, the creature takes extra necrotic damage equal to your Charisma modifier (minimum 1)."
Eldritch Invocations,Mask of Many Faces,"You can cast Disguise Self at will, without expending a spell slot."
Eldritch Invocations,Master of Myriad Forms,"Prerequisite: 15th level

You can cast Alter Self at will, without expending a spell slot."
Eldritch Invocations,Minions of Chaos,"Prerequisite: 9th level

You can cast Conjure Elemental once using a Warlock spell slot. You can’t do so again until you finish a long rest."
Eldritch Invocations,Mire the Mind,"Prerequisite: 5th level

You can cast Slow once using a Warlock spell slot. You can’t do so again until you finish a long rest."
Eldritch Invocations,Misty Visions,"You can cast Silent Image at will, without expending a spell slot or material components."
Eldritch Invocations,One with Shadows,"Prerequisite: 5th level

When you are in an area of dim light or darkness, you can use your action to become invisible until you move or take an action or a reaction."
Eldritch Invocations,Otherworldly Leap,"Prerequisite: 9th level

You can cast Jump on yourself at will, without expending a spell slot or material components."
Eldritch Invocations,Repelling Blast,"Prerequisite: Eldritch Blast cantrip

When you hit a creature with Eldritch Blast, you can push the creature up to 10 feet away from you in a straight line."
Eldritch Invocations,Sculptor of Flesh,"Prerequisite: 7th level

You can cast Polymorph once using a Warlock spell slot. You can’t do so again until you finish a long rest."
Eldritch Invocations,Sign of Ill Omen,"Prerequisite: 5th level

You can cast Bestow Curse once using a Warlock spell slot. You can’t do so again until you finish a long rest."
Eldritch Invocations,Thief of Five Fates,You can cast Bane once using a Warlock spell slot. You can’t do so again until you finish a long rest.
Eldritch Invocations,Thirsting Blade,"Prerequisite: 5th level, Pact of the Blade feature

You can attack with your pact weapon twice, instead of once, whenever you take the Attack action on your turn."
Eldritch Invocations,Visions of Distant Realms,"Prerequisite: 15th level

You can cast Arcane Eye at will, without expending a spell slot."
Eldritch Invocations,Voice of the Chain Master,"Prerequisite: Pact of the Chain feature

You can communicate telepathically with your familiar and perceive through your familiar’s senses as long as you are on the same plane of existence. Additionally, while perceiving through your familiar’s senses, you can also speak through your familiar in your own voice, even if your familiar is normally incapable of speech."
Eldritch Invocations,Whispers of the Grave,"Prerequisite: 9th level

You can cast Speak with Dead at will, without expending a spell slot."
Eldritch Invocations,Witch Sight,"Prerequisite: 15th level

You can see the true form of any shapechanger or creature concealed by illusion or transmutation magic while the creature is within 30 feet of you and within line of sight."
Warlock,Otherworldly Patrons,"The beings that serve as patrons for Warlocks are mighty inhabitants of other planes of existence—not gods, but almost godlike in their power. Various patrons give their Warlocks access to different powers and invocations, and expect significant favors in return.

Some patrons collect Warlocks, doling out mystic knowledge relatively freely or boasting of their ability to bind mortals to their will. Other patrons bestow their power only grudgingly, and might make a pact with only one Warlock. Warlocks who serve the same patron might view each other as allies, siblings, or rivals."
Otherworldly Patrons,The Fiend,"You have made a pact with a fiend from the lower planes of existence, a being whose aims are evil, even if you strive against those aims. Such beings desire the corruption or destruction of all things, ultimately including you. Fiends powerful enough to forge a pact include demon lords, archdevils, pit fiends, and balors that are especially mighty, and ultroloths and other lords of the yugoloths."
The Fiend,Expanded Spell List,"Spell Level | Spells
1st | Burning Hands, Command
2nd | Blindness/Deafness, Scorching Ray
3rd | Fireball, Stinking Cloud
4th | Fire Shield, Wall of Fire
5th | Flame Strike, Hallow"
The Fiend,Dark One’s Blessing,"Starting at 1st level, when you reduce a hostile creature to 0 hit points, you gain temporary hit points equal to your Charisma modifier + your Warlock level (minimum of 1)."
The Fiend,Dark One’s Own Luck,"Starting at 6th level, you can call on your patron to alter fate in your favor. When you make an ability check or a saving throw, you can use this feature to add a d10 to your roll. You can do so after seeing the initial roll but before any of the roll’s effects occur.

Once you use this feature, you can’t use it again until you finish a short or long rest."
The Fiend,Fiendish Resilience,"Starting at 10th level, you can choose one damage type when you finish a short or long rest. You gain resistance to that damage type until you choose a different one with this feature. Damage from magical weapons or silver weapons ignores this resistance."
The Fiend,Hurl Through Hell,"Starting at 14th level, when you hit a creature with an attack, you can use this feature to instantly transport the target through the lower planes. The creature disappears and hurtles through a nightmare landscape.

At the end of your next turn, the target returns to the space it previously occupied, or the nearest unoccupied space. If the target is not a fiend, it takes 10d10 psychic damage as it reels from its horrific experience.

Once you use this feature, you can’t use it again until you finish a long rest."
Otherworldly Patrons,The Overseer,"You have made a pact with an all seeing being of the outer planes: an infamous creature whose very name is forbidden from being put to text by almighty coastal Wizards, most known for its all-seeing eyes, great paranoia, and reality warping dreams. The nature of your pact may be down to delusion (yours, its, or both), or working toward some greater scheme of such brilliance that lesser minds cannot hope to comprehend."
The Overseer,The Overseer Features,
The Overseer,Overseer Expanded Spells,"Spell Level | Spells
1st | Sleep, Guidance
2nd | Blindness/Deafness, See Invisibility
3rd | Clairvoyance, Slow
4th | Arcane Eye, Fabricate
5th | Creation, Telekinesis"
The Overseer,Overseer’s Gaze,"1d6 | Effect | 
1 | Fear Ray | The targeted creature must make a Wisdom saving throw or become frightened of you until the start of your next turn.
2 | Telekinetic Ray | The target creature must make a Strength saving throw or be moved 10 feet in a direction of your choice.
3 | Slowing Ray | The target’s movement speed is halved until the start of your next turn.
4 | Petrification Ray | The target must succeed a Constitution saving throw or be affected by the slow spell until the start of your next turn.
5 | Enervation Ray | The target must succeed a Constitution saving throw or take 1d8 + your Charisma modifier necrotic damage.
6 | Disintegration Ray | The target must succeed a Constitution saving throw or take 1d10 + your Charisma modifier force damage."
The Overseer,Lingering Gaze,"At 6th level, when you invoke your Overseer’s Gaze, the spectral eye lasts for 1 minute before fading away, and you use your bonus action on each of turns to cause it to fire again, rolling on the table anew. Once during the duration of each eye, you can pick the effect it fires instead of rolling. The spectral eye moves with you and is always in your space.

While you have the spectral eye with you, have advantage on Wisdom (Perception) checks and can perform the Search action as a bonus action (instead of firing an eye ray)."
The Overseer,Patron’s Paranoia,"Beginning at 10th level, your patron’s paranoia affects and benefits you with constant vigilance. You can no longer be surprised, benefit from your normal passive perception even while sleeping, and can add your Charisma modifier to your initiative rolls."
The Overseer,Suppressor’s Sight,"Starting at 14th level, you can conjure the full power of your patron’s magic suppressing eye. As an action, you manifest a giant spectral eye in your space which creates an antimagic field (as per the spell) in a 150-foot cone until the start of your next turn. This eye does not move from the space it was manifested in. Once you use this feature, you can’t use it again until you finish a long rest."
The Overseer,Additional Invocations,"When you select The Overseer as your otherworldly patron, the following become additional options for your Warlock invocation selections."
The Overseer,Controlled Chaos,"Prerequisite: Overseer patron

When you roll on the Eye Ray Effects table, you can roll twice and choose between the two effects. If you roll the same value on both dice, you can pick any effect from the table."
The Overseer,Overseer’s Sight,"Prerequisite: 15th level, Overseer patron

You gain truesight with a range of 30 feet. This range is doubled while you have a spectral eye manifested from Lingering Gaze."
Otherworldly Patrons,Your Pact Boon,"Each Pact Boon option produces a special creature or an object that reflects your patron’s nature.

**Pact of the Chain.** Your familiar takes on a form reflecting your patron’s nature. If you serve the Fiend, your familiar might manifest as a cunning imp or a fiery quasit. Those bound to the Overseer summon familiars that evoke its omnipresent vigilance—creatures with multiple eyes, strange glowing features, or unnerving whispers, a constant reminder of its watchful gaze.

**Pact of the Blade.** The weapon granted by your pact reflects your patron's essence. For the Fiend, it could be a jagged blade wreathed in flickering flames, forged in the infernal planes. If your patron is the Overseer, your weapon may appear alien and unsettling—a staff or glaive adorned with swirling, eye-like patterns or warped metal that twists unnaturally in the light, its mere presence invoking unease.

**Pact of the Tome.** Your Book of Shadows reflects the nature of your pact. A Fiend’s gift is a charred, iron-bound tome filled with infernal conjurations and dark lore. The Overseer’s tome, by contrast, is a disjointed, disturbing text of shifting glyphs, unplaceable materials, and fragmented visions that alter the mind, imparting forbidden knowledge and glimpses into unknowable truths."
Classes,Wizard,"Through study, discipline, and boundless curiosity, Wizards unravel the secrets of magic, bending reality through sheer knowledge."
Wizard,Class Features,"As a Wizard, you gain the following class features."
Class Features,Hit Points,"**Hit Dice:** 1d6 per Wizard level

**Hit Points at 1st Level:** 6 + your Constitution modifier

**Hit Points at Higher Levels:** 1d6 (or 4) + your Constitution modifier per Wizard level after 1st"
Class Features,Proficiencies,"**Armor:** None

**Weapons:** Daggers, darts, slings, quarterstaffs, light crossbows

**Tools:** None

**Saving Throws:** Intelligence, Wisdom

**Skills:** Choose two from Arcana, History, Insight, Investigation, Medicine, and Religion"
Class Features,Equipment,"Level | Proficiency Bonus | Cantrips Known | 1st | 2nd | 3rd | 4th | 5th | 6th | 7th | 8th | 9th | Features
1st | +2 | 3 | 2 | - | - | - | - | - | - | - | - | Spellcasting, Arcane Recovery
2nd | +2 | 3 | 3 | - | - | - | - | - | - | - | - | Arcane Tradition
3rd | +2 | 3 | 4 | 2 | - | - | - | - | - | - | - | -
4th | +2 | 4 | 4 | 3 | - | - | - | - | - | - | - | Ability Score Improvement
5th | +3 | 4 | 4 | 3 | 2 | - | - | - | - | - | - | -
6th | +3 | 4 | 4 | 3 | 3 | - | - | - | - | - | - | Arcane Tradition feature
7th | +3 | 4 | 4 | 3 | 3 | 1 | - | - | - | - | - | -
8th | +3 | 4 | 4 | 3 | 3 | 2 | - | - | - | - | - | Ability Score Improvement
9th | +4 | 4 | 4 | 3 | 3 | 3 | 1 | - | - | - | - | -
10th | +4 | 5 | 4 | 3 | 3 | 3 | 2 | - | - | - | - | Arcane Tradition feature
11th | +4 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | - | - | - | -
12th | +4 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | - | - | - | Ability Score Improvement
13th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | - | - | -
14th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | - | - | Arcane Tradition feature
15th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | - | -
16th | +5 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | - | Ability Score Improvement
17th | +6 | 5 | 4 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | 1 | -
18th | +6 | 5 | 4 | 3 | 3 | 3 | 3 | 1 | 1 | 1 | 1 | Spell Mastery
19th | +6 | 5 | 4 | 3 | 3 | 3 | 3 | 2 | 1 | 1 | 1 | Ability Score Improvement
20th | +6 | 5 | 4 | 3 | 3 | 3 | 3 | 2 | 2 | 1 | 1 | Signature Spell"
Class Features,Spellcasting,"As a student of arcane magic, you have a spellbook containing spells that show the first glimmerings of your true power."
Spellcasting,Cantrips,"At 1st level, you know three cantrips of your choice from the Wizard spell list. You learn additional Wizard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Wizard table."
Spellcasting,Spellbook,"At 1st level, you have a spellbook containing six 1st-level Wizard spells of your choice. Your spellbook is the repository of the Wizard spells you know, except your cantrips, which are fixed in your mind."
Spellcasting,Your Spellbook,"The spells you add to your spellbook reflect your arcane research and intellectual breakthroughs about the multiverse. You might find other spells during adventures, like a scroll in an evil Wizard’s chest or a dusty tome in an ancient library.

**Copying a Spell into the Book.** When you find a Wizard spell of 1st level or higher, you can add it to your spellbook if it is of a spell level you can prepare and if you can spare the time to decipher and copy it.

Copying a spell into your spellbook involves reproducing its basic form and deciphering its unique notation. Practice until you understand the sounds and gestures, then transcribe it using your notation.

Each level takes 2 hours and costs 50 gp. This includes material components and fine inks for experimentation and recording. Once mastered, you can prepare the spell like other spells.

**Replacing the Book.** You can copy a spell from your own spellbook into another book—for example, if you want to make a backup copy of your spellbook. This is just like copying a new spell into your spellbook, but faster and easier, since you understand your own notation and already know how to cast the spell. You need spend only 1 hour and 10 gp for each level of the copied spell.

If you lose your spellbook, you can use the same procedure to transcribe the spells that you have prepared into a new spellbook. Filling out the remainder of your spellbook requires you to find new spells to do so, as normal. For this reason, many Wizards keep backup spellbooks in a safe place.

**The Book’s Appearance.** Your spellbook is a unique compilation of spells, with its own decorative flourishes and margin notes. It might be a plain, functional leather volume that you received as a gift from your master, a finely bound gilt-edged tome you found in an ancient library, or even a loose collection of notes scrounged together after you lost your previous spellbook in a mishap."
Spellcasting,Preparing and Casting Spells,"The Wizard table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell’s level or higher. You regain all expended spell slots when you finish a long rest.

You prepare the list of Wizard spells that are available for you to cast. To do so, choose a number of Wizard spells from your spellbook equal to your Intelligence modifier + your Wizard level (minimum of one spell). The spells must be of a level for which you have spell slots.

For example, if you’re a 3rd-level Wizard, you have four 1st-level and two 2nd-level spell slots. With an Intelligence of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination, chosen from your spellbook. If you prepare the 1st-level spell Magic Missile, you can cast it using a 1st-level or a 2nd-level slot. Casting the spell doesn’t remove it from your list of prepared spells.

You can change your list of prepared spells when you finish a long rest. Preparing a new list of Wizard spells requires time spent studying your spellbook and memorizing the incantations and gestures you must make to cast the spell: at least 1 minute per spell level for each spell on your list."
Spellcasting,Spellcasting Ability,"Intelligence is your spellcasting ability for your Wizard spells, since you learn your spells through dedicated study and memorization. You use your Intelligence whenever a spell refers to your spellcasting ability. In addition, you use your Intelligence modifier when setting the saving throw DC for a Wizard spell you cast and when making an attack roll with one.

**Spell save DC** = 8 + your proficiency bonus + your Intelligence modifier

**Spell attack modifier** = your proficiency bonus + your Intelligence modifier"
Spellcasting,Ritual Casting,You can cast a Wizard spell as a ritual if that spell has the ritual tag and you have the spell in your spellbook. You don’t need to have the spell prepared.
Spellcasting,Spellcasting Focus,You can use an arcane focus as a spellcasting focus for your Wizard spells.
Spellcasting,Learning Spells of 1st Level and Higher,"Each time you gain a Wizard level, you can add two Wizard spells of your choice to your spellbook for free. Each of these spells must be of a level for which you have spell slots, as shown on the Wizard table. On your adventures, you might find other spells that you can add to your spellbook (see the “Your Spellbook” sidebar)."
Class Features,Arcane Recovery,"You have learned to regain some of your magical energy by studying your spellbook. Once per day when you finish a short rest, you can choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your Wizard level (rounded up), and none of the slots can be 6th level or higher.

For example, if you’re a 4th-level Wizard, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level spell slot or two 1st-level spell slots."
Class Features,Arcane Tradition,"When you reach 2nd level, you choose an arcane tradition. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level."
Class Features,Ability Score Improvement,"At levels 4, 8, 12, 16, and 19, you can increase one ability score by 2 or two ability scores by 1, up to a maximum of 20."
Class Features,Spell Mastery,"At 18th level, you have achieved such mastery over certain spells that you can cast them at will. Choose a 1st-level Wizard spell and a 2nd-level Wizard spell that are in your spellbook. You can cast those spells at their lowest level without expending a spell slot when you have them prepared. If you want to cast either spell at a higher level, you must expend a spell slot as normal.

By spending 8 hours in study, you can exchange one or both of the spells you chose for different spells of the same levels."
Class Features,Signature Spells,"When you reach 20th level, you gain mastery over two powerful spells and can cast them with little effort. Choose two 3rd-level Wizard spells in your spellbook as your signature spells. You always have these spells prepared, they don’t count against the number of spells you have prepared, and you can cast each of them once at 3rd level without expending a spell slot. When you do so, you can’t do so again until you finish a short or long rest.

If you want to cast either spell at a higher level, you must expend a spell slot as normal."
Wizard,Arcane Traditions,"The study of Wizardry, dating back to early magical discoveries, is prevalent in fantasy gaming worlds with diverse magical traditions.

The most common arcane traditions revolve around the eight schools of magic, cataloged by Wizards throughout history: Abjuration, Conjuration, Divination, Enchantment, Evocation, Illusion, Necromancy and Transmutation. These schools can be literal institutions, like the School of Illusion, or academic departments with rival faculties. Even Wizards who train apprentices use the school division as a learning device, as each school requires mastery of different techniques."
Arcane Traditions,Arcanist,
Arcanist,Scholarly Specialty,"[When you take this archetype at 2nd level, choose one classical school of magic as your Scholarly Specialty: abjuration, conjuration, divination, enchantment, evocation, illusion, necromancy, or transmutation. The gold and time you must spend to copy spells from this school into your spellbook is halved. If a feature refers to your chosen school, it refers to the school selected in this feature.]"
Arcanist,Esoteric Talent,"Also at 2nd level, you gain one of the following benefits:"
Arcanist,Bend Magic,"[When you cast a wizard spell with an instantaneous duration that deals damage to an area, you can choose a number of creatures in the area that you can locate locate can see equal to your Intelligence modifier (minimum one creature). The chosen creatures take no damage from the spell.]"
Arcanist,Flash of Insight,"[You can use a bonus action to roll a d20, record the result, and choose a creature you can locate locate can see within 30 feet. The next time that creature makes an attack roll, ability check, or saving throw, it takes that d20 result instead of rolling. If you use this feature again before you finish a short rest, you must expend a spell slot of 1st-level or higher to do so.]"
Arcanist,Quick Step,"[After you cast a wizard spell of 1st-level or higher, you can immediately move up to 15 feet without provoking opportunity attacks or spending any of your normal movement.]"
Arcanist,Refined Learning,"At 6th level, choose one of the following benefits:"
Arcanist,Arcane Armor,"[When you cast a wizard spell of 1st-level or higher, you store some of its magic to protect yourself, gaining temporary hit points equal to twice the level of the spell, or three times the spell's level if the spell is from your chosen school. Instead of gaining these temporary hit points yourself, you can use your reaction to grant them to a creature you can locate locate can see within 30 feet.]"
Arcanist,Energy Retention,"[When you expend a spell slot of 2nd-level or higher to cast a wizard spell from your chosen school, you regain one expended spell slot. The regained spell slot must be of a level no more than half the level of the expended spell slot.]"
Arcane Traditions,War Magic,"[When you cast a wizard spell from your chosen school that deals damage, you deal additional damage equal to your Intelligence modifier (minimum +1) on the first damage roll for that spell.]"
War Magic,Superior Talent,"At 10th level, choose one of the following benefits:"
War Magic,Perfect Control,"[When concentrating on a wizard spell of your chosen school, you only need to roll to maintain concentration when you take damage from an attack, effect, or spell equal to or greater than your Intelligence score + your wizard level.]"
War Magic,Secondary Learning,[Choose a second school as your Scholarly Specialty and an additional feature from either Esoteric Talent or Refined Learning.]
War Magic,Splinter Spell,"[Once per rest, when you cast a wizard spell from your chosen school that only affects one creature, you can choose to affect an additional creature within range.]"
War Magic,Specialized Mastery,"At 14th level, choose one of the following benefits:"
War Magic,Battle Hardiness,"[When concentrating on a wizard spell from your chosen school, you reduce bludgeoning, piercing, and slashing damage you take by an amount equal to the level of the spell.]"
War Magic,Heightened Potency,"When you cast a wizard spell from your chosen school, it is always treated as though it were cast with a spell slot one level higher (maximum 9th-level) than the one you used, so long as you expended a spell slot to cast it. The slot you use to cast the spell must still be at least equal to the level of the spell."
War Magic,Precise Understanding,"When you see a creature cast a spell from your chosen school, you automatically know what spell it's casting. In addition, you have advantage on saving throws against spells."
Arcane Traditions,Theurge,"Not all wizards focus on one of the traditional 8 schools of magic. Wizards of this pursuit delve what other Wizards consider untouchable. The secrets of the divine. They discover and delve the paths of power that divine magic activates, and seek to recreate it through precise understanding and deep knowledge. Some are deeply religious, devoted to gods and seeking to understand them at a higher level, some follow unrestrained academic curiosity, and yet others seek this power for blasphemous reasons."
Theurge,Theurge Features,
Theurge,Study of the Divine,"Beginning at 2nd level, you delve the secrets of the divine, prying into magic usually denied to the arcane paths. Whenever you gain a Wizard level, you can replace one of the Wizard spells you add to your spellbook with a spell from the Cleric spell list. Any Cleric spell you gain from this feature is considered a Wizard spell for you and is recorded in your spellbook, but other Wizards are unable to copy these spells into their own spellbooks. The spell must be of a level for which you have spell slots, and can never be a spell level higher than your proficiency bonus (meaning you will be unable to learn Cleric spells of 7th level or higher).

Your ability to recreate divine magic using arcane magic is limited. You can cast a number of spells gained from this feature equal to your proficiency bonus. You regain all uses when you complete a long rest. When you use your Arcane Recovery feature, you can choose to reset this limit instead of regain spell slots. Using divine magic that brings creatures back from the dead strains your body, causing you to gain 2 levels of exhaustion when you cast a spell learned through this feature that restores a creature to life."
Theurge,Theologian,"Additionally at 2nd level, you gain proficiency in the Religion skill. If you already have proficiency in Religion, you can select another skill to gain proficiency in."
Theurge,Celestial Conduit,"Starting at 6th level, when you cast a spell from the Cleric spell list, you gain temporary hit points equal to your Intelligence modifier + the level of the spell."
Theurge,Divine Revelation,"Beginning at 10th level, your understanding of divine magic reaches complete comprehension. You can copy Cleric spells into your spellbook from scrolls or other written records of them. Additionally, when you deal fire or lightning damage, you can replace half the damage dealt with radiant damage. When you deal cold or poison damage, you can replace half the damage dealt with necrotic damage."
Theurge,Divine Synthesis,"Starting at 14th level, your research into the synthesis of divine and arcane reveals to you a greater harmony of power. When you cast a 1st level or higher spell from the Wizard spell list or a spell from the Cleric spell list as your action, you can cast a 1st level or higher spell from the other list with a casting time of an action or bonus action as a bonus action (regardless of its casting time). The total level of the two spells combined cannot exceed your half your Wizard level (rounded down)."
Creating a Character,Ancestries,
Ancestries,Ancestral Traits,The description of each ancestry includes inherited traits that are common to members of that ancestry. The following entries appear among the traits of most ancestries. Some ancestries have variants with traits of the parent ancestry and variant-specific traits.
Ancestral Traits,Age,"The age entry notes when an ancestry member becomes an adult and its expected lifespan. This helps decide your character’s age at the game’s start. You can choose any age, which may explain ability scores. For instance, a young or old character might have low Strength or Constitution, while advanced age could explain high Intelligence or Wisdom."
Ancestral Traits,Size,"Characters of most ancestries are Medium, between 4 and 8 feet tall. A few ancestries are Small (2 to 4 feet tall), and some game rules may affect them differently. Small characters may struggle with heavy weapons, as explained in “Equipment.”"
Ancestral Traits,Speed,Your speed determines how far you can move when traveling (“Adventuring”) and fighting (“Combat”).
Ancestral Traits,Languages,"By virtue of your ancestry, your character can speak, read, and write certain languages."
Ancestries,Dwarf,"Sturdy and resilient, dwarves are known for their compact build with strong frames and broad features. Their intricate beards and braids often represent cultural pride. Dwarves have a reputation for craftsmanship and have a deep connection to the earth, often favoring mountainous or underground regions."
Dwarf,Dwarf Traits,"Your dwarf character has an assortment of inborn abilities, part and parcel of dwarven nature.

**Age.** Dwarves mature at the same rate as humans, but they’re considered young until they reach the age of 50. On average, they live about 350 years.

**Size.** Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.

**Speed.** Your base walking speed is 25 feet. Your speed is not reduced by wearing heavy armor.

**Darkvision.** You have darkvision to 60 feet.

**Dwarven Resilience.** You have advantage on saving throws against poison, and you have resistance against poison damage."
Ancestries,Elf,"Elves have sharp, angular features and pointed ears that vary widely in color, often reflecting their connection to nature or magic. They are long-lived, known for valuing art, knowledge, and harmony with their environment."
Elf,Elf Traits,"Your elf character has a variety of natural abilities, the result of thousands of years of elven refinement.

**Age.** Elves reach physical maturity around the same age as humans, but adulthood encompasses worldly experience. They typically claim adulthood and an adult name around 100 and can live up to 750 years.

**Size.** Elves range from under 5 to over 6 feet tall and tend to have slender builds. Your size is Medium.

**Speed.** Your base walking speed is 30 feet.

**Darkvision.** You have darkvision to 60 feet.

**Keen Senses.** You have proficiency in the Perception skill.

**Fey Ancestry.** You have advantage on saving throws against being charmed, and magic can’t put you to sleep.

**Trance.** Elves meditate and dream deeply for 4 hours daily, remaining semiconscious, which is called “trance.” These dreams are mental exercises that have become reflexive through practice. After resting this way, you gain the same benefit as a human from 8 hours of sleep."
Ancestries,Halfling,"Halflings are small, typically with round features and a penchant for comfort and community. Their ingenuity and resourcefulness shine in their love for storytelling and exploration."
Halfling,Halfling Traits,"Your halfling character has a number of traits in common with all other halflings.

**Age.** Halflings reach adulthood at 20 and usually live until the middle of their second century.

**Size.** Halflings average about 3 feet tall and weigh about 40 pounds. Your size is Small.

**Speed.** Your base walking speed is 25 feet.

**Lucky.** When you roll a 1 on the d20 for an attack roll, ability check, or saving throw, you can reroll the die and must use the new roll.

**Brave.** You have advantage on saving throws against being frightened.

**Halfling Nimbleness.** You can move through the space of any creature that is of a size larger than yours."
Ancestries,Human,"Humans have a vast range of skin tones, hair colors, and physical builds that reflect their wide range of environments. Their round ears and softer facial features contrast with the more distinct traits of other ancestries. Humans' adaptability allows them to thrive in various climates, from rugged mountain ranges to dense urban centers, making them one of the most widespread peoples."
Human,Human Traits,"Your human character has a number of traits in common with all other humans.

**Age.** Humans reach adulthood in their late teens and live less than a century.

**Size.** Humans vary widely in height and build, from barely 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.

**Speed.** Your base walking speed is 30 feet. \
**Intrepid **Once between rests, when you make an ability check, attack roll, or saving throw, you can choose to add the result of a d4 to that roll.

**It Takes a Village **You can use the Help action as a bonus action. Once per long rest when you Help an ally, in addition to granting advantage you may also choose for your ally to gain a d4 on that roll. You can be up to 15 feet away from the attack's target."
Ancestries,Dragonborn,"Dragonborn are towering humanoids with draconic features, including scales in a spectrum of colors and reptilian eyes. They possess imposing physiques and a proud heritage."
Dragonborn,Dragonborn Traits,"Your draconic heritage manifests in a variety of traits you share with other dragonborn.

**Age.** Young dragonborn grow rapidly. They walk hours after hatching, reach the size of a 10-year-old human child by 3, and become adults by 15. They live to be around 80.

**Size.** Dragonborn are taller and heavier than humans, standing well over 6 feet tall and averaging almost 250 pounds. Your size is Medium.

**Speed.** Your base walking speed is 30 feet.

**Breath Weapon.** You can use your dragon breath as an action.

Choose the type of damage dealt by your breath weapon from the following list: acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, or thunder.

Additionally, choose between a 30-foot line that is 5 feet wide or a 15-foot cone for the area that your breath weapon affects. Each creature in the breath’s area makes a Dexterity saving throw. If your breath weapon deals psychic damage, a Wisdom saving throw is made instead of Dexterity; if cold, necrotic, poison, radiant, or thunder, a Constitution saving throw. The DC is 8 + your Constitution modifier + your proficiency bonus.

A creature takes 2d6 damage on a failed saving throw, or half damage on a success. The damage increases to 3d6 at 4th level, 4d6 at 9th level, 5d6 at 14th level, and 6d6 at 19th level.

After you use your dragon breath, you can’t use it again until you finish a rest.

**Damage Resistance.** You have resistance to the same damage type as your breath weapon."
